timestamp,total_transfer_vol_bw_exchanges_btc_from_all_exchanges_to_all_exchanges
2014-07-17T00:00:00Z,1416.209706
2014-07-18T00:00:00Z,1235.101102
2014-07-19T00:00:00Z,1347.32171
2014-07-20T00:00:00Z,473.4698408
2014-07-21T00:00:00Z,676.8808083
2014-07-22T00:00:00Z,1951.89267
2014-07-23T00:00:00Z,1365.142676
2014-07-24T00:00:00Z,3798.753118
2014-07-25T00:00:00Z,1961.158882
2014-07-26T00:00:00Z,1534.190018
2014-07-27T00:00:00Z,484.9995476
2014-07-28T00:00:00Z,3539.68976
2014-07-29T00:00:00Z,801.4640209
2014-07-30T00:00:00Z,2108.627917
2014-07-31T00:00:00Z,1679.243531
2014-08-01T00:00:00Z,1895.479401
2014-08-02T00:00:00Z,1383.477012
2014-08-03T00:00:00Z,238.6710952
2014-08-04T00:00:00Z,666.8962315
2014-08-05T00:00:00Z,1487.894449
2014-08-06T00:00:00Z,1438.253534
2014-08-07T00:00:00Z,1100.461249
2014-08-08T00:00:00Z,185.7361553
2014-08-09T00:00:00Z,98.36409834
2014-08-10T00:00:00Z,603.9190432
2014-08-11T00:00:00Z,1926.425905
2014-08-12T00:00:00Z,2456.18065
2014-08-13T00:00:00Z,6982.531565
2014-08-14T00:00:00Z,14695.08966
2014-08-15T00:00:00Z,8991.720083
2014-08-16T00:00:00Z,3400.679434
2014-08-17T00:00:00Z,3285.441353
2014-08-18T00:00:00Z,12022.72426
2014-08-19T00:00:00Z,2415.916551
2014-08-20T00:00:00Z,2555.419201
2014-08-21T00:00:00Z,1777.810548
2014-08-22T00:00:00Z,4965.542452
2014-08-23T00:00:00Z,253.207939
2014-08-24T00:00:00Z,277.1167181
2014-08-25T00:00:00Z,1044.012641
2014-08-26T00:00:00Z,1326.707289
2014-08-27T00:00:00Z,652.8555976
2014-08-28T00:00:00Z,1352.15693
2014-08-29T00:00:00Z,3242.403221
2014-08-30T00:00:00Z,157.010847
2014-08-31T00:00:00Z,6562.526235
2014-09-01T00:00:00Z,6488.878233
2014-09-02T00:00:00Z,1572.134602
2014-09-03T00:00:00Z,448.6598384
2014-09-04T00:00:00Z,1254.827319
